id;id_2;name;brand;type;color;itemCondition;availability;priceCurrency;price;megapixels;optical_zoom;video_resolution;iso_range;unit;width;height;depth;unit2;value;model;has_wifi;has_bluetooth;battery
walmart-51650ba6d92bdca372e07f63cf51df06;camera_001;Nikon D3400 Digital SLR Camera with 24.2 Megapixels and 18-55mm and 70-300mm Lenses Included;Nikon;DSLR;Black;NewCondition;InStock;USD;569.99;24.2;16x;Full HD 1080p;100-25600;Inches;6.5;5.32;11.02;lbs;4.03;D3400;Yes;yes;EN-EL14A rechargeable li-ion battery
walmart-698daed2260ea72556cb5cb342d17f78;camera_002;Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 IS II Lens + 58mm Wide Angle Lens + 2x Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle;Canon;DSLR;Black;NewCondition;InStock;USD;449.99;18;3x;Full HD 1080p;100-6400;inches;5.1;4;3.1;lbs;15.52;1159C003;yes;yes;1 x Canon LP-E10 Li-ion rechargeable battery (included)
samys-ad91d35d56d16a8d759dc41c692a0b9c;camera_003;Sony Alpha a68 Digital SLR Camera with DT 18-55mm f/3.5-5.6 SAM II Lens;Sony;DSLR;Black;NewCondition;InStock;USD;698;24.8;4x;1080 HD;100?25600;in;5.61;4.1;3.26;g;696;a68;no;no;NP-FM500H Rechargeable Lithium-ion Battery Pack, 7.2 VDC, 1650 mAh
samys-63325293c96d4d030868ce8ca9fbc7b7;camera_004;Pentax K-1 Mark II Digital SLR Camera Body;Pentax;DSLR;Black;NewCondition;InStock;USD;1,996.95;36.4;None;1080 HD;100-819200;In;5.4;4.3;3.4;g;925;K-1 Mark II;yes;no;D-LI90 Rechargeable Lithium-Ion Battery Pack, 7.2 VDC, 1860 mAh
bestbuy-cba5da0c30ab48b7f2303cc9734ae8c7;camera_005;Panasonic - LUMIX DC-ZS70 20.3-Megapixel Digital Camera - Black;Panasonic;DSLR;Black;NewCondition;InStock;USD;449.99;20.3;30x;3840 x 2160;80 - 3200;inches;4.41;2.65;1.62;pounds;0.71;DC-ZS70K;yes;no;1 x Li-ion rechargeable battery
walmart-85de6b8c2661cac31a49425181241064;camera_006;Olympus OM-D E-M10 Mark II Digital Camera w 14-42mm IIR  40-150mm Lenses-Black;Olympus;DSLR;Black;NewCondition;InStock;USD;649;16.1;1x;HD 1080p;25600;inches;9.5;13;3;pounds;3.85;V207051BU000/ V315030BU000;no;No;1 Lithium ion
samys-2533b70f661058637e6095af7ec84a7e;camera_007;Fujifilm X70 Digital Camera (Black);Fujifilm;DSLR;Black;NewCondition;InStock;USD;699;16.3;10x;1080 HD;51200;inches;1.75;4.43;2.54;pounds;0.75;X70;no;no;NP-95 Rechargeable Lithium-ion Battery (3.6V,1800mAh)
bestbuy-7255d34f87fe6f13a99138a0f4dc8dec;camera_008;Sony - AS300 Waterproof Action Camera - White;Sony;Action Cameras;White;NewCondition;InStock;USD;299.99;8.2;1x;1920 x 1080;NA;inches;1.2;1.9;3.3;pounds;0.2;HDRAS300/W;yes;yes;NP-BX1
bestbuy-377ae319e3eb4ebe07b8f630eb456a3e;camera_009;Nikon - KeyMission 360 Degree Waterproof Action Camera - Black;Nikon;Action Cameras;White;NewCondition;InStock;USD;499.99;20.3;4x;3840 x 2160;NA;inches;2.4;2.4;2.6;pounds;0.44;26513;yes;yes;EN-EL12 Rechargeable Li-ion Battery
bestbuy-b4c6c6ed53024c0591e8396b76258ba9;camera_010;GoPro - HERO5 Session 4K Action Camera - Black;GoPro;Action Cameras;Black;NewCondition;InStock;USD;199.99;10;NA;3840 x 2160;NA;inches;1.5;1.43;1.5;pounds;0.23;CHDHS-501;yes;yes;lithium ion
walmart-a4db28835f9c3bca0c5a3de644bede4b;camera_011;Polaroid CUBE Lifestyle Sports Action Camera;Polaroid;Action Cameras;Blue;NewCondition;InStock;USD;62.5;6;4x;Full HD 1080p;NA;Inches;1.4;1.4;1.4;ounces;1.6;Polaroid CUBE;no;no;lithium ion
walmart-e5a3f42d53b1785949001fb4155b5dd3;camera_012;ACTIVEON LX Action Camera (1080p @ 30fps, 3.5MP CMOS Sensor) - LCD - Waterproof Housing - Smartphone Control;ACTIVEON;Action Cameras;Gray;NewCondition;InStock;USD;44.99;3.5;4x;Full HD 1080p;NA;Inches;1.77;1.69;2.4;pounds;5;LKA10W;yes;yes;lithium ion
bestbuy-77a18b0db734f96d37434472807d614b;camera_013;Mevo - Live Event Camera - White;Mevo - Live;Action Cameras;White;NewCondition;InStock;USD;299.99;12.4;NA;3840 x 2160;NA;inches;2;2.5;2;pounds;0.3;MV1-01A-WH;yes;yes;AA
