identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
bhphotovideo-001db8fdd25f35fd15fb67e78b8be560,X1D-50c 4116 Edition Medium Format Mirrorless Digital Camera with 45mm Lens,,,Hasselblad,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/hasselblad_h_3013911_x1d_50c_4116_edition_medium_1285144.jpg,,,,,5.0,5,4
bhphotovideo-02f5fc8d2d5df520c75c83e9e7c3bbd2,K-3 II DSLR Camera with Battery Grip Kit,,,Pentax,NewCondition,,,https://www.bhphotovideo.com/images/images1500x1500/pentax_k_3_ii_dslr_camera_1358285.jpg,,,,,5.0,5,3
bhphotovideo-033d2be24bac67cedd87ad3194d43917,PowerShot G7 X Mark II Digital Camera with PIXMA PRO-100 Inkjet Printer Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_powershot_g7_x_mark_1342152.jpg,,,,,,,
bhphotovideo-0446a624cc919af1ca017894898c1e53,EOS Rebel T6i DSLR Camera (Body Only),,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_0591c001_eos_rebel_t6i_dslr_1116100.jpg,,,,,4.7,5,30
bhphotovideo-0492a272ad4c9354f6b840b27e9b7135,EOS M6 Mirrorless Digital Camera Body with Inkjet Printer Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_eos_m6_mirrorless_digital_1342099.jpg,,,,,,,
bhphotovideo-0514c42ab749d8eb21551364a2e7ac3d,Lumix DC-GX850 Micro Four Thirds Mirrorless Camera with 12-32mm Lens (Silver),,,Panasonic,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/panasonic_dc_gx850ks_dmc_gx850_micro_four_thirds_1304865.jpg,,,,,4.1,5,8
bhphotovideo-07ba15692ca02fcff799fb9f7ac59a3e,Camera Explorer Kit with Six Camera-DC2 Cameras,,,HamiltonBuhl,NewCondition,,,https://www.bhphotovideo.com/images/images750x750/hamiltonbuhl_camera_dc2_6_six_camera_dc2_5mp_cameras_534307.jpg,,,,,,,
bhphotovideo-089e09222c4112881dd31ad0df518bd6,Cyber-shot DSC-RX10 III Digital Camera,,,Sony,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/sony_dsc_rx10m3_cyber_shot_dsc_rx10_iii_digital_1242612.jpg,,,,,4.5,5,158
bhphotovideo-08c3409ec31756810233d7998a29e8c4,TL2 Mirrorless Digital Camera (Black),,,Leica,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/leica_18187_tl2_mirrorless_digital_camera_1348985.jpg,,,,,4.3,5,3
bhphotovideo-0904a595ca9471d1d7d0abe20387e60d,1 AW1 Mirrorless Digital Camera with 11-27.5mm and 10mm Lenses (Black),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images1000x1000/nikon_27667_nikon_1_aw1_with_1006603.jpg,,,,,4.1,5,7
bhphotovideo-09256f2115eef41bf5ed02cd633206ea,COOLPIX W100 Digital Camera Deluxe Kit (White),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_coolpix_w100_digital_camera_1324908.jpg,,,,,,,
bhphotovideo-09d470e5a4f70bd27f91590d2116e06a,Cyber-shot DSC-W800 Digital Camera Deluxe Kit (Black),,,Sony,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/sony_cyber_shot_dsc_w800_digital_camera_1046810.jpg,,,,,,,
bhphotovideo-0a83a2f224aa2a775c80b3eeb17b0784,iTT28 Digital Camera (Red),,,Polaroid,NewCondition,,,https://www.bhphotovideo.com/images/images2000x2000/polaroid_itt28_red_polaroid_20_1mp_with_3_0_1318554.jpg,,,,,1.0,5,1
bhphotovideo-0af7c0fd85d30b29e342832aba9b6ab0,1 AW1 Mirrorless Digital Camera Basic Accessory Kit with 11-27.5mm Lens (Black),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_1_aw1_mirrorless_digital_1009669.jpg,,,,,,,
bhphotovideo-0b9a895a1aac28a00517c2e27c5c775a,Cyber-shot DSC-WX350 Digital Camera (Black),,,Sony,NewCondition,,,https://www.bhphotovideo.com/images/images1000x1000/sony_dsc_wx350_b_cyber_shot_dsc_wx350_digital_camera_1029526.jpg,,,,,4.1,5,34
bhphotovideo-0bbf7790952c8573fda2799dba228227,Lumix DC-ZS200 Digital Camera (Black),,,Panasonic,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/panasonic_lumix_dmc_zs200_digital_camera_1389450.jpg,,,,,,,
bhphotovideo-0be14628ed07a2f60d6e4619e4d8b803,D5600 DSLR Camera with 18-140mm Lens and Accessory Kit,,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_d5600_dslr_camera_with_1332918.jpg,,,,,,,
bhphotovideo-0c21d1e289b7d9a5e5afdc3b2461bff0,PowerShot SX60 HS Digital Camera Deluxe Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_powershot_sx60_hs_digital_1086693.jpg,,,,,5.0,5,1
bhphotovideo-0ca5b7c0e28b858bdcc5557431a5b91d,EOS 7D Mark II DSLR Camera Body with W-E1 Wi-Fi Adapter,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images1000x1000/canon_9128b126_eos_7d_mark_ii_1276208.jpg,,,,,5.0,5,8
bhphotovideo-0e1c5466726cd11ed1ec0bf443e5e447,Theta SC Spherical Digital Camera (Pink),,,Ricoh,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/ricoh_910741_theta_sc_spherical_digital_1288519.jpg,,,,,4.3,5,8
bhphotovideo-0ea08dea407fd5301b1670463559c991,"PEN E-PL8 Mirrorless Micro Four Thirds Digital Camera (Body Only, Black)",,,Olympus,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/olympus_v205080bu000_pen_e_pl8_mirrorless_micro_1282168.jpg,,,,,5.0,5,1
bhphotovideo-0eb60bf9ffcd629438497da2fb38d7d0,"COOLPIX B500 Digital Camera (Red, Refurbished)",,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_26508b_coolpix_b500_digital_camera_1365792.jpg,,,,,5.0,5,1
bhphotovideo-0ef40f2becee4640a2df6844029b971b,H6D Medium Format Camera (Body Only),,,Hasselblad,NewCondition,,,https://www.bhphotovideo.com/images/images1500x1500/hasselblad_h_3013765_h6d_spare_camera_body_1366022.jpg,,,,,,,
bhphotovideo-11a25ea8d562f2040d9a82bf67ebce2c,Snap Touch Instant Digital Camera (Purple),,,Polaroid,NewCondition,,,https://www.bhphotovideo.com/images/images1000x1000/polaroid_polstpr_snap_touch_instant_digital_1304384.jpg,,,,,3.6,5,7
bhphotovideo-11b1f09f1c02f9928d1434d21db17e3d,1 AW1 Mirrorless Digital Camera with 11-27.5mm Lens (Silver),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_27666_1_aw1_mirrorless_digital_1006600.jpg,,,,,3.6,5,17
bhphotovideo-126bc38466f9b6c7f1e706deef654649,iE090 Digital Camera (Red),,,Polaroid,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/polaroid_ie090_red_18mp_waterproof_digicam_with_1318555.jpg,,,,,3.7,5,3
bhphotovideo-12d77a83079f70581b2fc6400351a8ea,1 J5 Mirrorless Digital Camera with 10-30mm and 30-110mm Lenses (White),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_27712_1_j5_mirrorless_digital_1135892.jpg,,,,,4.4,5,16
bhphotovideo-13e758bdbeaa5b398e995a3b7013da1b,MiniShot Instant Digital Camera (Yellow),,,Kodak,NewCondition,,,https://www.bhphotovideo.com/images/images1000x1000/kodak_kodmsy_kodak_mini_shot_instant_1352552.jpg,,,,,,,
bhphotovideo-14071c4eff5910f2e04ba27a7105b811,Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm Lens Deluxe Kit (Black),,,Panasonic,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/panasonic_lumix_dmc_g7_mirrorless_micro_1213211.jpg,,,,,,,
bhphotovideo-149350d9aae8fea196829ba74ec2abcf,EOS 77D DSLR Camera with 18-55mm and 55-250mm Lenses Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_eos_77d_dslr_camera_1329223.jpg,,,,,,,
bhphotovideo-149ca56b1e74bc8cf58cfc4d0fd84af8,F126 Digital Camera (Blue),,,Vivitar,NewCondition,,,https://www.bhphotovideo.com/images/images2000x2000/vivitar_vf126_blu_int_14mp_camera_1_8_tft_1081311.jpg,,,,,2.6,5,17
bhphotovideo-1518709c78592c01a417233a784ba62d,PowerShot G9 X Mark II Digital Camera with Free Accessory Kit (Silver),,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_powershot_g9_x_mark_1321601.jpg,,,,,5.0,5,4
bhphotovideo-155392b9facaacfbf1d82104eb60eede,Alpha a6500 Mirrorless Digital Camera with 18-135mm Lens,,,Sony,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/sony_ilce_6500m_b_alpha_a6500_mirrorless_digital_1399789.jpg,,,,,,,
bhphotovideo-15b9be3849012c52aa6023b42a32d36a,V-LUX (Typ 114) Digital Camera with Free Accessory Kit,,,Leica,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/leica_v_lux_typ_114_digital_1085683.jpg,,,,,,,
bhphotovideo-15d99966e020829c32cf2258982c04ca,EOS Rebel T7i DSLR Camera Body Basic Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_eos_rebel_t7i_dslr_1372722.jpg,,,,,,,
bhphotovideo-17d0822b1f43d6968b05200e2334b28e,X-T2 Mirrorless Digital Camera with Pro HDR Kit,,,Fujifilm,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/fujifilm_x_t2_mirrorless_digital_camera_1346988.jpg,,,,,,,
bhphotovideo-17f716e850a9d952b63c3cb26c3b6ca0,PowerShot G9 X Mark II Digital Camera with PIXMA PRO-100 Inkjet Printer Kit (Black),,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_powershot_g9_x_mark_1342151.jpg,,,,,,,
bhphotovideo-1820b41b21f4f6f995e4a3c18ea62ab6,1 AW1 Mirrorless Digital Camera Basic Accessory Kit with 11-27.5mm Lens (White),,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_1_aw1_mirrorless_digital_1009671.jpg,,,,,,,
bhphotovideo-189e0cf19eb49554eddb3ea812aabe9b,ViviCam S126 Digital Camera (Pink),,,Vivitar,NewCondition,,,https://www.bhphotovideo.com/images/images2000x2000/vivitar_vs126_pnk_16_1mp_digital_camera_pink_1318574.jpg,,,,,2.0,5,2
bhphotovideo-18ca687e95525d027366163cf91c9d19,PowerShot SX530 HS Digital Camera with Accessories Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_powershot_sx530_hs_digital_1127771.jpg,,,,,4.6,5,5
bhphotovideo-19987f806e9dd564d0b73aa3d5c6bb26,MiniShot Instant Digital Camera (Black),,,Kodak,NewCondition,,,https://www.bhphotovideo.com/images/images1500x1500/kodak_kodmsb_kodak_mini_shot_instant_1352554.jpg,,,,,,,
bhphotovideo-1a1aff06678d8ec4360b25ace591633c,EOS 80D DSLR Camera with 18-135mm Lens Deluxe Kit,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/canon_eos_80d_dslr_camera_1264864.jpg,,,,,5.0,5,2
bhphotovideo-1a37b408264e8e644aa141e2eb64476e,1 V3 Mirrorless Digital Camera with 10-30mm Lens and Accessories Kit,,,Nikon,NewCondition,,,https://www.bhphotovideo.com/images/images2500x2500/nikon_1_v3_mirrorless_digital_1216292.jpg,,,,,,,
bhphotovideo-1b63d574a1a02f9ff2a1d81afe489e9f,EOS Rebel T6i DSLR Camera with 18-55mm Lens,,,Canon,NewCondition,,,https://www.bhphotovideo.com/images/images2000x2000/canon_0591c003_eos_rebel_t6i_dslr_1116101.jpg,,,,,4.9,5,104
