identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
cameta-0008ffa10f49158df3cd6b2c4c4aca34,Bell & Howell Splash3 WP20 HD Shock & Waterproof Digital Camera (Red) with 32GB Card + Case + Bike Handlebar & Helmet Mounts + Tripod + Reader + Kit,USD,125.99,BELL & HOWELL,,,Bell & Howell Splash3 WP20 HD Shock & Waterproof Digital Camera (Red) with 32GB Card + Case + Bike Handlebar & Helmet Mounts + Tripod + Reader + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/bellhowell/wp20_red_kit04_99637_a.jpg,,,,,,,
cameta-001d529a74d8d40efd131a5706f125a8,Sony Alpha A6300 4K Wi-Fi Digital Camera & 16-50mm Lens (Silver) with 55-210mm Lens + 64GB Card + Case + Flash + Battery & Charger + Tripod + Filters + Kit,USD,"1,199.99",SONY,,,Sony Alpha A6300 4K Wi-Fi Digital Camera & 16-50mm Lens (Silver) with 55-210mm Lens + 64GB Card + Case + Flash + Battery & Charger + Tripod + Filters + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a6300_16-50mm_silver_kit23a_101393_a.jpg,,,,,,,
cameta-0029884e13620e540a3d290c588aac4d,Coleman Xtreme C20WP Shock & Waterproof HD Digital Camera (Red) with 32GB Card + Batteries & Charger + Case + Selfie Stick + Kit,USD,107.99,COLEMAN,,,Coleman Xtreme C20WP Shock & Waterproof HD Digital Camera (Red) with 32GB Card + Batteries & Charger + Case + Selfie Stick + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/coleman/cameras/c20wp_red_kit03_96759_a.jpg,,,,,,,
cameta-004adcc78c258ce54fa16cb03cbe2b29,KODAK PIXPRO Friendly Zoom FZ53 Digital Camera (Red),USD,89.00,KODAK PIXPRO,,,KODAK PIXPRO Friendly Zoom FZ53 Digital Camera (Red),https://s3.amazonaws.com/images.cameta.com/productimages/kodak/digital/pointshoot/fz53_red_01_93045_a.jpg,,,,,,,
cameta-01180f869f1d04eae77b936920ddba01,Pentax K-70 All Weather Wi-Fi Digital SLR Camera & DA 18-55mm AL WR Lens with 64GB Card + Case + Flash + Soft Box + Battery + Tripod + Filter + Kit,USD,759.99,PENTAX,,,Pentax K-70 All Weather Wi-Fi Digital SLR Camera & DA 18-55mm AL WR Lens with 64GB Card + Case + Flash + Soft Box + Battery + Tripod + Filter + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/pentax/digital/slr/k-70_18-55_black_kit01_98482_a.jpg,,,,,,,
cameta-011a1d7d273ae502bb530c2c7ffb9d57,Canon PowerShot SX620 HS Wi-Fi Digital Camera (Silver),USD,249.00,CANON,,,Canon PowerShot SX620 HS Wi-Fi Digital Camera (Silver),https://s3.amazonaws.com/images.cameta.com/productimages/canon/digital/pointshoot/sx620_silver_01_93182_a.jpg,,,,,,,
cameta-0138cd9424630d015986553ed9bd1528,Sony Alpha A7 II Digital Camera Body with FE 24-240mm OSS Lens + 64GB Card + Battery + Charger + Case + Flash + 3 Filters + Kit,USD,"2,299.99",SONY,,,Sony Alpha A7 II Digital Camera Body with FE 24-240mm OSS Lens + 64GB Card + Battery + Charger + Case + Flash + 3 Filters + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a7ii_body_kit45b_87590_a.jpg,,,,,,,
cameta-014760f78f2e9f01a3ed54855dae70ec,Coleman Xtreme C20WP Shock & Waterproof HD Digital Camera (Yellow),USD,65.00,COLEMAN,,,Coleman Xtreme C20WP Shock & Waterproof HD Digital Camera (Yellow),https://s3.amazonaws.com/images.cameta.com/productimages/coleman/cameras/c20wp_yellow_01_96272_a.jpg,,,,,,,
cameta-015e554bf75891028bfa55cbe3fbc772,Sony Alpha A77 II Wi-Fi Digital SLR Camera Body with 55-300mm Lens + 64GB Card + Case + Flash + Battery & Charger + Kit,USD,"1,499.99",SONY,,,Sony Alpha A77 II Wi-Fi Digital SLR Camera Body with 55-300mm Lens + 64GB Card + Case + Flash + Battery & Charger + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a77_ii_body_kit40a_85787_a.jpg,,,,,,,
cameta-0167d6dcd2fe071d485d896ae05f883d,KODAK PIXPRO Friendly Zoom FZ43 Digital Camera (Black) with 16GB Card + Case + Tripod + Kit,USD,97.99,KODAK PIXPRO,,,KODAK PIXPRO Friendly Zoom FZ43 Digital Camera (Black) with 16GB Card + Case + Tripod + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/kodak/digital/pointshoot/fz43_black_kit01b_93069_a.jpg,,,,,,,
cameta-017dbc906b3b4fdf2b0ae8126ac24aa5,Fujifilm Instax Mini 9 Instant Film Camera (Smokey White) with 20 Twin & 10 Rainbow Prints + Case + Cleaning Kit,USD,105.99,FUJIFILM,,,Fujifilm Instax Mini 9 Instant Film Camera (Smokey White) with 20 Twin & 10 Rainbow Prints + Case + Cleaning Kit,https://s3.amazonaws.com/images.cameta.com/productimages/fuji/instant_camera/instax_mini9_smokey_white_kit03a_97538_a.jpg,,,,,,,
cameta-01d0380499330f0a2bcfbea6b831f00f,Nikon Coolpix B500 Wi-Fi Digital Camera (Red) with 64GB Card + Case + Flash + Batteries & Charger + Tripod + Strap + Kit,USD,329.99,NIKON,,,Nikon Coolpix B500 Wi-Fi Digital Camera (Red) with 64GB Card + Case + Flash + Batteries & Charger + Tripod + Strap + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/nikon/digital/pointshoot/b500_red_kit04_92248_a.jpg,,,,,,,
cameta-01da3713a8eedaa58baf7fb165d83277,Sony Alpha A7R III 4K Wi-Fi Digital Camera Body with FE 55mm f/1.8 Lens + 128GB Card + Case + Tripod + Filters + Flash + LED + Mic Kit,USD,"4,099.99",SONY,,,Sony Alpha A7R III 4K Wi-Fi Digital Camera Body with FE 55mm f/1.8 Lens + 128GB Card + Case + Tripod + Filters + Flash + LED + Mic Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a7r_iii_body_kit25a_100726_a.jpg,,,,,,,
cameta-01f53a45371c5f89e99fc35e0ad70b6a,Nikon D7500 Wi-Fi 4K Digital SLR Camera & 16-80mm VR DX Lens with 64GB Card + Battery + Case + Flash + Grip + Flex Tripod + Wrist Strap + Filter + Kit,USD,"1,879.99",NIKON,,,Nikon D7500 Wi-Fi 4K Digital SLR Camera & 16-80mm VR DX Lens with 64GB Card + Battery + Case + Flash + Grip + Flex Tripod + Wrist Strap + Filter + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/nikon/digital/slr/d7500_16-80_kit06_101268_a.jpg,,,,,,,
cameta-01f73bee00161b625506f591b4aa9187,Vivitar ViviCam VXX14 Selfie Digital Camera (Black) with 16GB Card + Case + Tripod + Reader + Kit,USD,64.99,VIVITAR,,,Vivitar ViviCam VXX14 Selfie Digital Camera (Black) with 16GB Card + Case + Tripod + Reader + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/vivitar/digital_camera/vivicam/vxx14_black_kit01a_98086_a.jpg,,,,,,,
cameta-0264cc63686181aa2d4edd1a8390862e,Canon EOS M100 Wi-Fi Digital ILC Camera & EF-M 15-45mm IS STM Lens (White) with 64GB Card + Backpack + Battery + Flex Tripod + 3 UV/CPL/ND8 Filters + Kit,USD,599.99,CANON,,,Canon EOS M100 Wi-Fi Digital ILC Camera & EF-M 15-45mm IS STM Lens (White) with 64GB Card + Backpack + Battery + Flex Tripod + 3 UV/CPL/ND8 Filters + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/canon/digital/eos-m/eos_m100_15-45mm_white_kit02a_99769_a.jpg,,,,,,,
cameta-02bf2478d2011e65a229d7b69c583714,Sony Alpha A7S II 4K Wi-Fi Digital Camera Body with (2x) 64GB Cards + Battery & Charger + Backpack + Flash + LED + Mic + Tripod + Kit,USD,"2,519.99",SONY,,,Sony Alpha A7S II 4K Wi-Fi Digital Camera Body with (2x) 64GB Cards + Battery & Charger + Backpack + Flash + LED + Mic + Tripod + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a7s_ii_body_kit04c_97506_a.jpg,,,,,,,
cameta-02c4c3e95f2bcaa1987add8c4ab6419d,Canon EOS 5DS R Digital SLR Camera Body with 24-105mm f/4 L II Lens + 64GB Card + Battery & Charger + Backpack + Grip + Flash Kit,USD,"4,999.99",CANON,,,Canon EOS 5DS R Digital SLR Camera Body with 24-105mm f/4 L II Lens + 64GB Card + Battery & Charger + Backpack + Grip + Flash Kit,https://s3.amazonaws.com/images.cameta.com/productimages/canon/digital/slr/5ds_r_body_kit50a_89349_a.jpg,,,,,,,
cameta-02d283c0450b2829f45f4314327162e3,Coleman Venture HD C40WP Shock & Waterproof Digital Camera (Blue) with 16GB Card + Case + Reader + Mini Tripod + Kit,USD,105.99,COLEMAN,,,Coleman Venture HD C40WP Shock & Waterproof Digital Camera (Blue) with 16GB Card + Case + Reader + Mini Tripod + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/coleman/cameras/c40wp_blue_kit01_99644_a.jpg,,,,,,,
cameta-02eec974e2313f9079962103880ac7ab,Bell & Howell 2VIEW18 HD Dual Screen Waterproof Digital Camera (Yellow) with 32GB Card + Batteries & Charger + Case + Tripod + Floating Strap + Kit,USD,114.99,BELL & HOWELL,,,Bell & Howell 2VIEW18 HD Dual Screen Waterproof Digital Camera (Yellow) with 32GB Card + Batteries & Charger + Case + Tripod + Floating Strap + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/bellhowell/2view18_yellow_kit04_96482_a.jpg,,,,,,,
cameta-0319092a3349aa14cf41a060a6cbdc5f,Canon EOS 77D Wi-Fi Digital SLR Camera & EF-S 18-135mm IS USM Lens with 64GB Card + Battery & Charger + Grip + Backpack + 3 Filters + Tripod + Flash + Kit,USD,"1,499.99",CANON,,,Canon EOS 77D Wi-Fi Digital SLR Camera & EF-S 18-135mm IS USM Lens with 64GB Card + Battery & Charger + Grip + Backpack + 3 Filters + Tripod + Flash + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/canon/digital/slr/77d_18-135_kit04_100237_a.jpg,,,,,,,
cameta-031fee5750f2375463c3f6ecbe06f004,Olympus OM-D E-M5 Mark II Micro 4/3 Digital Camera Body (Black) with 14-42mm EZ & 40-150mm Lenses + 64GB Card + Case + Battery/Charger + Kit,USD,"1,239.99",OLYMPUS,,,Olympus OM-D E-M5 Mark II Micro 4/3 Digital Camera Body (Black) with 14-42mm EZ & 40-150mm Lenses + 64GB Card + Case + Battery/Charger + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/olympus/digital/om-d/e-m5_ii_body_black_kit21a_87098_a.jpg,,,,,,,
cameta-035e0accad7587fcd3f0710ed5eb30f8,Panasonic Lumix DC-FZ80 4K Wi-Fi Digital Camera with 32GB Card + Backpack + Battery + Tripod + Kit,USD,424.99,PANASONIC,,,Panasonic Lumix DC-FZ80 4K Wi-Fi Digital Camera with 32GB Card + Backpack + Battery + Tripod + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/panasonic/digital/point_shoot/dc-fz80_kit01_96807_a.jpg,,,,,,,
cameta-0377d4da209700ead638b6395caa4d8f,Sony Alpha A77 II Wi-Fi Digital SLR Camera & 16-50mm Lens with 55-200mm Lens + 64GB Card + Battery & Charger + Case + Filters + Tripod + Flash + Kit,USD,"1,999.99",SONY,,,Sony Alpha A77 II Wi-Fi Digital SLR Camera & 16-50mm Lens with 55-200mm Lens + 64GB Card + Battery & Charger + Case + Filters + Tripod + Flash + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a77_mark_ii_16-50_kit23_97536_a.jpg,,,,,,,
cameta-037baf7575b603c3128e75dd32e8e02f,Sony Alpha A6000 Wi-Fi Digital Camera & 16-50mm Lens (Silver) with 55-210mm Lens + 64GB Card + Case + Battery/Charger + Tripod + Tele/Wide Lens Kit,USD,808.99,SONY,,,Sony Alpha A6000 Wi-Fi Digital Camera & 16-50mm Lens (Silver) with 55-210mm Lens + 64GB Card + Case + Battery/Charger + Tripod + Tele/Wide Lens Kit,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/slr/a6000_16-50_silver_kit23_ebay_82448_a.jpg,,,,,,,
cameta-03c20b76b73b0298f73d001b5317d092,Canon EOS Rebel T6i Wi-Fi Digital SLR Camera & EF-S 18-55mm IS STM Lens with 75-300mm III Lens + 64GB Card + Case + Filters + Tripod + Flash + Tele/Wide Lens Kit,USD,849.99,CANON,,,Canon EOS Rebel T6i Wi-Fi Digital SLR Camera & EF-S 18-55mm IS STM Lens with 75-300mm III Lens + 64GB Card + Case + Filters + Tripod + Flash + Tele/Wide Lens Kit,https://s3.amazonaws.com/images.cameta.com/productimages/canon/digital/slr/t6i_18-55_is_stm_kit22_88232_a.jpg,,,,,,,
cameta-03ca5b0325625bea6ed5a1984033a4c0,Sony Cyber-Shot DSC-HX90V Wi-Fi GPS Digital Camera,USD,448.00,SONY,,,Sony Cyber-Shot DSC-HX90V Wi-Fi GPS Digital Camera,https://s3.amazonaws.com/images.cameta.com/productimages/sony/digital/pointshoot/dsc-hx90v_01_88183_a.jpg,,,,,,,
cameta-03d4fcce5aebc6b83df895cb731da33b,Panasonic Lumix DMC-GX8 4K Wi-Fi Digital Camera Body (Black) with 12-35mm f/2.8 OIS Lens + 64GB Card + Battery + Charger + Case + Flash + Tripod + Kit,USD,"2,199.99",PANASONIC,,,Panasonic Lumix DMC-GX8 4K Wi-Fi Digital Camera Body (Black) with 12-35mm f/2.8 OIS Lens + 64GB Card + Battery + Charger + Case + Flash + Tripod + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/panasonic/digital/mirrorless/gx8_body_black_kit20a_89522_a.jpg,,,,,,,
cameta-03ddd68ea27c27476a89ff85420f942d,Fujifilm X-A5 Wi-Fi Digital Camera & 15-45mm XC Lens (Brown) with 32GB Card + Battery + Case + Flex Tripod + Strap + Filter + Kit,USD,629.99,FUJIFILM,,,Fujifilm X-A5 Wi-Fi Digital Camera & 15-45mm XC Lens (Brown) with 32GB Card + Battery + Case + Flex Tripod + Strap + Filter + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/fuji/digital/mirrorless/x-a5_15-45_brown_kit02a_101703_a.jpg,,,,,,,
cameta-040af074657a7bf018dc7b200d1d17fb,Coleman Xtreme3 C9WP Shock & Waterproof 1080p HD Digital Camera (Red) with 16GB Card + Case + Tripod + Float Strap + Kit,USD,109.99,COLEMAN,,,Coleman Xtreme3 C9WP Shock & Waterproof 1080p HD Digital Camera (Red) with 16GB Card + Case + Tripod + Float Strap + Kit,https://s3.amazonaws.com/images.cameta.com/productimages/coleman/cameras/c9wp_red_kit01_84774_a.jpg,,,,,,,
cameta-04573acb2101ace47ff04c85673f4287,Coleman Duo 2V9WP Dual Screen Shock & Waterproof Digital Camera (Blue),USD,89.00,COLEMAN,,,Coleman Duo 2V9WP Dual Screen Shock & Waterproof Digital Camera (Blue),https://s3.amazonaws.com/images.cameta.com/productimages/coleman/cameras/2v9wp_blue_01_83873_a.jpg,,,,,,,
cameta-0480f6bff450d76b8e43d73228598195,Fujifilm Instax Mini 9 Instant Film Camera (Cobalt Blue) with 40 Twin Color Prints + Case + Batteries & Charger + Cleaning Kit,USD,119.99,FUJIFILM,,,Fujifilm Instax Mini 9 Instant Film Camera (Cobalt Blue) with 40 Twin Color Prints + Case + Batteries & Charger + Cleaning Kit,https://s3.amazonaws.com/images.cameta.com/productimages/fuji/instant_camera/instax_mini9_cobalt_blue_kit02a_97521_a.jpg,,,,,,,
