identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
flipkart-00356b9c46bfe279afaeed26f91a4e47,Sony DSC-HX350 Compact Camera with 50x Optical Zoom (8 GB SD Card + Carry Case) Point & Shoot Camera,,,Sony,,,,https://rukminim1.flixcart.com/image/128/128/jb13te80/camera/a/r/r/sony-dsc-hx350-mirrorless-original-imafydwmjzhtbc2h.jpeg?q=70,,,,,4.4,,35
flipkart-00ade428042348eb0df5ad675faebac7,Artek Action V3 Sports and Action Camera,,,Artek,,,,https://rukminim1.flixcart.com/image/128/128/j63x7rk0/sports-action-camera/m/j/q/v3-action-v3-artek-original-imaewn7uhb9gf6nk.jpeg?q=70,,,,,3.5,,1
flipkart-00beb33c33fd1411e6be9525dee98f92,Canon EOS 80D(W) DSLR Camera (Body Only) (16 GB SD Card),,,Canon,,,,https://rukminim1.flixcart.com/image/128/128/j3kh18w0/dslr-camera/k/z/m/dslr-eos-80d-w-canon-original-imaeuzc6vhrxjmyh.jpeg?q=70,,,,,4,,8
flipkart-00fa451116cde3aeb9790250947009d5,Sony DSC-H400 Point & Shoot Camera,,,Sony,,,,https://rukminim1.flixcart.com/image/128/128/camera/x/u/q/sony-dsc-h400-point-shoot-original-imadvx9eac5axc82.jpeg?q=70,,,,,3.9,,34
flipkart-014c9edbbd289cffe3c7b85de8c4d978,,,,,,,,,,,,,,,
flipkart-01a6d961c71b9a6bebf658b6fb432bd2,Fujifilm Instax Mini 8 Instant Camera,,,Fujifilm,,,,https://rukminim1.flixcart.com/image/128/128/j2kr0y80/camera/g/g/k/fujifilm-instax-instax-mini-8-instant-camera-original-imaetwg9bszazttq.jpeg?q=70,,,,,4.4,,83
flipkart-0267d775ea0ab92b49ac1d7813cfa4ce,Sony DSC-RX100 Point & Shoot Camera,,,Sony,,,,https://rukminim1.flixcart.com/image/128/128/camera/c/f/4/sony-dsc-rx100-point-shoot-original-imadcwqgf9hrshgp.jpeg?q=70,,,,,4.7,,39
flipkart-02d291b599a47dc9af4c1a6e603b96b0,Fujifilm Instax Wide 300 Instant Camera,,,Fujifilm,,,,https://rukminim1.flixcart.com/image/128/128/camera/c/f/z/fujifilm-instax-wide-300-original-imaeb83p4pfeqbgg.jpeg?q=70,,,,,3.8,,2
flipkart-02fe576471e61aaf37b3d33b5fd04a8c,Sony DSC-W830/PC IN5 (80815325) Point & Shoot Camera,,,Sony,,,,https://rukminim1.flixcart.com/image/128/128/camera/d/n/5/sony-cyber-shot-dsc-w830-point-shoot-original-imaej3npcmk52jmk.jpeg?q=70,,,,,4.1,,88
flipkart-036ca9e43dd6daffbd086496fe244e7f,,,,,,,,,,,,,,,
flipkart-04060e7173213b908a19db7142f7aa7f,Nikon D5300 (Body only) (16 GB SD Card + Camera Bag) DSLR Camera,,,Nikon,,,,https://rukminim1.flixcart.com/image/128/128/camera/b/f/f/nikon-d5300-slr-original-imadr83kzhuqntrf.jpeg?q=70,,,,,4.5,,77
flipkart-0511c559ae73dcf48e84c2866ba95be7,SJCAM 4000 WIFI PLUS 170 degrees A+ grade HD wide angle Sports & Action Camera,,,SJCAM,,,,https://rukminim1.flixcart.com/image/128/128/camera/h/d/z/sjcam-4000-wifi-plus-4000-wifi-plus-sports-action-original-imaeqz3qfxvwqsk5.jpeg?q=70,,,,,,,
flipkart-062f9acd857764b40ac32e3e7655ff10,Nikon D7200 (AF-S 18-140 mm VR Kit Lens) DSLR Camera,,,Nikon,,,,https://rukminim1.flixcart.com/image/128/128/camera/f/f/g/nikon-d7200-dslr-original-imae5kpycbvbtrsg.jpeg?q=70,,,,,4.2,,3
flipkart-06717fc9b251a5fa221e306e916d5b5c,Doodads Pro D1080 Sports and Action Camera,,,Doodads,,,,https://rukminim1.flixcart.com/image/128/128/j3er9u80/sports-action-camera/a/e/g/d1080-pro-action-pro-doodads-original-imaeskwyhqz8a2s4.jpeg?q=70,,,,,3,,2
flipkart-08aa7dc9fece57e7f13e6c3d43d4039a,,,,,,,,,,,,,,,
flipkart-0942f0dd0d9ca3b61a01a60a7b7e927f,,,,,,,,,,,,,,,
flipkart-09ea7071f59614bb4189426bed952e91,,,,,,,,,,,,,,,
flipkart-0a7ca0b81b6f3ddc6bbb2f6fbe1b0497,Cp Bigbasket PowerShot 4K Ultra HD 12 MP WiFi Waterproof Digital & Sports Camcorder With Accessories Sports and Action Camera,,,Cp Bigbasket,,,,https://rukminim1.flixcart.com/image/128/128/j7asfbk0/sports-action-camera/c/5/f/4k-ultra-hd-12-mp-wifi-waterproof-digital-sports-camcorder-with-original-imaexjkzzgwavddw.jpeg?q=70,,,,,,,
flipkart-0ac74bb864497993e362b26ce594e403,Canon IXUS 285 HS Point & Shoot Camera,,,Canon,,,,https://rukminim1.flixcart.com/image/128/128/camera/h/d/b/canon-ixus-285-point-shoot-original-imaeg2eznff9nqzs.jpeg?q=70,,,,,4.1,,22
flipkart-0ade06569dfce8f882d25a249a3f7c69,Benison India ™Waterproof Cam Holder Sports & Action Camera,,,Benison India,,,,https://rukminim1.flixcart.com/image/128/128/j2ur3ww0/camera/p/y/c/benison-india-action-shot-waterproof-sports-action-original-imaetxhxcgvmdszg.jpeg?q=70,,,,,,,
flipkart-0baa0d3154cf9ccd5d17e029d692a8cb,Supreno Action Camera  Waterproof Action HD 1080p Sports and Action Camera,,,Supreno,,,,https://rukminim1.flixcart.com/image/128/128/jezzukw0/sports-action-camera/z/9/y/waterproof-action-hd-1080p-action-camera-1080p-12mp-waterproof-original-imaez3f7txefhdf8.jpeg?q=70,,,,,,,
flipkart-0bf30d2aef7b733519e2416cb86c6556,Style Maniac 4k Ultra HD 4k Ultra HD waterproof sports/Action camera Sports and Action Camera (Black 16 MP) Sports and Action Camera,,,Style Maniac,,,,https://rukminim1.flixcart.com/image/128/128/jex4yvk0/sports-action-camera/j/3/a/ultra-hd-4k-ultra-hd-waterproof-sports-action-camera-sports-and-original-imaffk3gf93sygbn.jpeg?q=70,,,,,,,
flipkart-0cf7dde8aca92e9f94389b7aa1d424ae,Canon EOS 800D DSLR Camera (Body Only) (16 GB SD Card + Camera Bag),,,Canon,,,,https://rukminim1.flixcart.com/image/128/128/dslr-camera/u/d/g/eos-800d-eos-800d-canon-original-imaesam2xqdjggnu.jpeg?q=70,,,,,4.6,,35
flipkart-0d571bfa11a80fa0bcbf3fec971397d0,dji osmo osmo Sports and Action Camera,,,dji,,,,https://rukminim1.flixcart.com/image/128/128/jf751u80/sports-action-camera/s/k/r/osmo-osmo-osmo-dji-original-imaf3ptte6gdds9t.jpeg?q=70,,,,,,,
flipkart-0edbc166857a42d88ed4c5e4b2f84e3a,Nikon D3300 DSLR Camera Body with Lens: AF-P 18-55mm VR + AF-P DX NIKKOR 70-300mm f/4.5-6.3G ED VR Kit (16 GB SD Card + Camera Bag),,,Nikon,,,,https://rukminim1.flixcart.com/image/128/128/dslr-camera/g/a/6/nikon-d3300-original-imaezdkusse8fnat.jpeg?q=70,,,,,4.5,,1605
