identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
park-00955e60525359200e39c237771bc654,Ricoh WG-M2 Silver,GBP,£157.97,Ricoh,http://schema.org/NewCondition,http://schema.org/InStock,"Grab all the action in 4K with the Ricoh WG-M2 - waterproof to 20m, shockproof and fully operable in freezing cold temperatures, this is the perfect accoutrement for the adrenaline junky.",https://content.parkcameras.com/5/1/images/catalog/i/l_39347-WG-M2_silver.jpg,,,,,,,
park-00a55fb78c7ee69be51ede99ca5aa57e,Polaroid Originals Originals OneStep 2 White Instant Camera,GBP,£109.99,Polaroid Originals,http://schema.org/NewCondition,http://schema.org/InStock,,https://content.parkcameras.com/5/1/images/catalog/i/l_73673-01a.WHITE_FRONT-F.jpg,,,,,,,
park-01e2d99a0b8124e2d7aa22e64b705f7d,Sony HDR-AS200 Action Camcorder HD & Remote,GBP,£259.00,Sony,http://schema.org/NewCondition,http://schema.org/InStock,HDR-AS200 Action Camcorder HD with Live View Remote,https://content.parkcameras.com/5/1/images/catalog/i/l_34244-sony-HDR-AS200.png,,,,,,,
park-04c4cb1cd012f19ea1d4611ee492a4fe,Olfi one.five 4K Action Camera,GBP,£149.99,Olfi,http://schema.org/NewCondition,http://schema.org/InStock,Olfi one.five is a 4K Ultra High Definition action camera designed in the UK.,https://content.parkcameras.com/5/1/images/catalog/i/l_87257-Front.png,,,,,,,
park-05a5e8a26c870fab2d70df5e1be901f9,Sony A6000 mirrorless digital camera Body Black,GBP,£429.00,Sony,http://schema.org/NewCondition,http://schema.org/InStock,"the a6000’s Fast Hybrid AF combines the strengths of both phase- and contrast-detection autofocus. With a class-leading 179 phase detection points (covering almost the entire image) and a high-speed contrast-detection function,",https://content.parkcameras.com/5/1/images/catalog/i/l_a6000_body_black.jpg,,,,,,,
park-07c640ff03af9a498bd69e24e7328c68,Sony DSC H400 Black,GBP,£219.00,Sony,http://schema.org/NewCondition,http://schema.org/InStock,DSC H400 Black,https://content.parkcameras.com/5/1/images/catalog/i/l_25508-DSCH400.png,,,,,,,
park-07fbe64e6f89708ba2d90a0d94e8a553,Sony DSC-WX350 - Black Compact Digital Camera,GBP,£159.00,Sony,http://schema.org/NewCondition,http://schema.org/InStock,,https://content.parkcameras.com/5/1/images/catalog/i/l_wx350_fsl.jpg,,,,,,,
park-0a7891369bbc79c6dbcda7f72e02ccc4,Impossible I-1 Analogue Instant Camera,GBP,£199.97,Impossible,http://schema.org/NewCondition,http://schema.org/InStock,The brilliant Impossible I-1 Analogue Instant Camera is the first new camera in over 20 years designed specifically for the Polaroid photo format. It captures high quality photos that instantly exist in a physical form.,https://content.parkcameras.com/5/1/images/catalog/i/l_30585-I-1-Angled-Viewfinder-Open-with-Flash_PHOTO-RED.jpg,,,,,,,
park-0c1191866c25ab4c5052e3ffb688b330,Fujifilm Instax Square SQ10 Instant Film Camera,GBP,£249.00,Fujifilm,http://schema.org/NewCondition,http://schema.org/InStock,Square format hybrid instant film camera from Fujifilm,https://content.parkcameras.com/5/1/images/catalog/i/l_80308-SQ10_01.jpg,,,,,,,
park-0ee7097b16d6c11c4a3816ec3cb10d0d,Pentax 645Z + smc D-FA 645 55mm f/2.8,GBP,"£6,499.00",Pentax,http://schema.org/NewCondition,http://schema.org/InStock,,https://content.parkcameras.com/5/1/images/catalog/i/l_645z_copie.jpg,,,,,,,
