,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
0,pictureline-00580d74806c2474659d8f3af08f699e,Nikon Coolpix W300 Digital Camera (Orange),,USD,38995,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/W300_OR_front_lo_grande.jpg?v=1499893133,018208265244,,,,0,5,0
1,pictureline-066ed31e8a25a41853dc324dc41de753,Fujifilm INSTAX Mini 70 Instant Film Camera (Stardust Gold),,USD,11995,Fujifilm,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/mini70_GOLD_Front_grande.jpg?v=1480704218,07410129048,,,,0,5,0
2,pictureline-06a542fac22e4b6e5d2f75a0cb0c82e1,Canon PowerShot G9X Mark II Digital Camera (Silver),,USD,52999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/LR_G9X_MARKII_SILVER_FRONT_CL_grande.jpg?v=1483652107,013803284942,,,,0,5,0
3,pictureline-0e9b7ea71737bbb76d343f41dfbc5b97,Hasselblad H6D-50c Medium Format Digital Camera Body,,USD,1449500,Hasselblad,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/Screen_Shot_2016-04-11_at_4.48.27_PM_grande.png?v=1460415567,7392544137452,,,,0,5,0
4,pictureline-0f6c584e57ec70729d68590624408b2e,Leica M10 Digital Camera (Silver),,USD,689500,Leica,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/20001_Leica_M10_silver_without_lens_front_RGB_grande.jpg?v=1485556669,4022243200012,,,,0,5,0
5,pictureline-11e91029a935a63c39f15d2eef77ab57,Panasonic Lumix DMC-FZ1000 Digital Camera,,USD,59799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/fz1000_slant_lcd_700_grande.png?v=1477677445,885170188235,,,,0,5,0
6,pictureline-1226d76d248e386271a6aa6895fa23a5,Nikon D7500 DSLR Camera with 18-140mm VR DX Lens,,USD,154695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/D7500_18_140_front_grande.jpg?v=1492443876,018208015825,,,,0,5,0
7,pictureline-137a8fe725d5b45b5961a53c8155d99c,Sony Alpha a6500 Mirrorless Digital Camera Body,,USD,139800,Sony,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/ILCE-6500_front_jpg_grande.jpg?v=1499117005,027242895706,,,,0,5,0
8,pictureline-142f82281091e3bfda0379c82da2fb84,Panasonic Lumix DMC-LX100 Digital Camera Black,,USD,64799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/LX100k_front-500_grande.png?v=1477677860,885170226722,,,,0,5,0
9,pictureline-171435a1606a7c809ffb6d24da2af059,Nikon D810 Digital SLR with 24-120mm f/4 VR Lens,,USD,329695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/1542_D810_front_grande.png?v=1514912378,018208015566,,,,0,5,0
10,pictureline-18096c885c7fdae37d0541ac8cfabc1e,Nikon D5600 DX Digital SLR Camera w/ 18-55mm DX VR II Lens Black,,USD,74695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/18-55_d5600_grande.jpg?v=1483563092,018208015764,,,,0,5,0
11,pictureline-1940ddae0770de6d84ca1a4e61db4fe3,Panasonic Lumix DMC-LX100 Digital Camera Silver,,USD,64799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/panasonic_dmc_lx100s_lumix_dmc_lx100_digital_camera_1082467_grande.jpeg?v=1477677784,885170226739,,,,0,5,0
12,pictureline-247ed7db3dc98b290c4b9f54a1886248,Panasonic Lumix DMC-G7 Mirrorless Digital Camera with 14-140mm Lens (Black),,USD,109799,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/G7_k_front_H_FS14140-KA_grande.jpeg?v=1477677613,885170254091,,,,0,5,0
13,pictureline-2c38a4c4bd9b9e711e8cd336c3e4bacf,Nikon D5 FX-Format Digital SLR Camera Body (XQD Version),,USD,649695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/product_01_01_grande.png?v=1462213304,018208015573,,,,0,5,0
14,pictureline-2d16295af7aaa3ed9b6255ee9b7d0ac3,Panasonic Lumix DMC-GX85 Mirrorless Micro Four Thirds Camera w/12-32mm Lens (Black),,USD,59799,Panasonic,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/gx85-2_grande.jpg?v=1477677684,885170285316,,,,5,5,1
15,pictureline-2d48b4a7edd52f366b3ef1e3d611bc66,Canon EOS 77D DSLR Camera with 18-55mm IS STM Lens,,USD,94999,Canon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/HR_77D_EFS18-55_IS_STM_TOPFRONT_CL_grande.jpg?v=1487369123,013803292916,,,,0,5,0
16,pictureline-2d5662f6d716478e6bd7040276136fab,Panasonic Lumix DMC-GH5 Digital Camera with Leica 12-60mm Lens Kit,,USD,239999,Panasonic,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/1_LUMIX_GH5_GH5LK_grande.jpg?v=1501188560,885170307117,,,,0,5,0
17,pictureline-2d679b2c2d379728a431d993caff18c7,Nikon Coolpix A900 Digital Camera (Black),,USD,39995,Nikon,,False,,//cdn.shopify.com/s/files/1/0750/1017/products/26501_A900_front_grande.png?v=1481923543,018208265015,,,,0,5,0
18,pictureline-2feadef92c1719dced10a010aa398aa0,Nikon D810 SLR Digital Camera Body,,USD,279695,Nikon,,True,,//cdn.shopify.com/s/files/1/0750/1017/products/d810_bf1b_front_2_grande.jpeg?v=1514912387,018208015429,,,,4,5,0
