identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
robertscamera-008a7f761a7996836c0dd575f1760ab6,Panasonic 		Lumix DMC-GX7 (Body Only),USD,799.99,Panasonic,new,https://schema.org/InStock,,,,,,,,,
robertscamera-03544e86402ebfdfb82e3a1b87ac1c9b,Sony 		HDR-PJ670 Camcorder with Built-in Projector,USD,699.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-03ddd653bb4422f0a040a458a770a5cf,Pentax 		KP (Body Only),USD,1099.95,Pentax,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0482c11ee587a6b78530b61fdffd77a0,Blackmagic Design 		Micro Studio Camera 4K,USD,1295,Blackmagic Design,new,https://schema.org/InStock,,,,,,,,,
robertscamera-06533827a6d5aeba91b984cb079d555e,Olympus 		PEN E-PL5 with 14-42mm,USD,399.99,Olympus,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-067acd7bde848cb6d2aa5f2b8baa3b14,Nikon 		D810 (Body Only),USD,2796.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-06828fc083a8025c97e53ee101910618,Sony 		HDR-PJ50V HD Camcorder,USD,899.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-06d294f111aa15ba790cd93fc2224e14,Samsung 		Gear 360 (White),USD,349.99,Samsung,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-079356802d70dbb09ba0a49dab715989,Nikon 		Coolpix A900,USD,396.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-086463b73ccdc70ba7b37def7f1b4839,Canon 		EOS Rebel T6i with 18-55mm STM Lens,USD,699.99,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0a7a8ee6e4fb8e7c9be40c09c51c4c4f,Olympus 		OM-D E-M5 (Body Only),USD,499.99,Olympus,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0ad5be50dc3ac6e3810864eb829a9afb,Sony 		FDR-AX100 4K Camcorder,USD,1499,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0c2735895bcff37d9721f730e4861ba0,Nikon 		1 J5 with 10-30mm and 30-110mm,USD,746.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0d58a59e6d9d2370c5ac3fe7f13de670,FujiFilm 		X-T2 (Body Only),USD,1599.95,FujiFilm,new,https://schema.org/InStock,,,,,,,,,
robertscamera-0e1d81b9e8fb7b805738899bfe500fec,Nikon 		D750 with 24-120mm,USD,2296.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-0e2a8d926aa3a325d09f20e1c87b42d6,Nikon 		D7200 with 18-140mm VR Lens,USD,1296.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0e36c6fbf3aa6b4952776ce72c0bfd14,WASPcam 		9906 Camo Action Camera,USD,279.99,WASPcam,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0ea670a2897900c8fd545c80c7b25014,Pentax 		K-50 with 18-55mm and 50-200mm Lenses,USD,499,Pentax,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0f0481bd9286a1c14e2dd31bd792a6b9,Sony 		HDR-CX330 Handycam Camcorder,USD,329.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0fb00cff687f757d7cc310e033278b52,FujiFilm 		GFX 50S (Body Only),USD,6499.95,FujiFilm,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0fc0a61cea349e3557ffa7f213aaa4fe,Sony 		HXR-MC1 HD Point of View Camcorder,USD,1999,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-0fdb7bd2fd51bd76a844294e09613c99,Sony 		a7 II with 28-70mm f/3.5-5.6 FE,USD,1599.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-1012a4e5f03aa7469b0e259bb4e093b6,Canon 		EOS 5DS R (Body Only),USD,3899,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-107307a3a85432265322cd86d69ec133,Panasonic 		DMC-ZS20 Digital Camera,USD,349.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-141098675c3d6f9ef419e9145bee09b0,Panasonic 		LUMIX DMC-G85 (Body Only),USD,899.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-158da7d63016a5f224efe8b43ec706b5,Sony 		NEX-VG30 with 18-200mm Lens,USD,2699.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-15a4f9df8e3b55c3e05f6a080e7524db,Sony 		Cybershot RX100 II,USD,599.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-175c0fcab3c933027504f445b824b7e5,Casio 		EX-ZR10 (Black),USD,249.99,Casio,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-177eed3e9afd22b0104ef8f8abce289b,Panasonic 		DMC-LX7 Digital Compact Camera,USD,399.99,Panasonic,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-179d65c8652f7a4d7d1ab1984ae1af6d,Panasonic 		Lumix DMC-LZ20,USD,249.97,Panasonic,new,https://schema.org/InStock,,,,,,,,,
robertscamera-185b7359882f079b453f1a7b89bb2d26,Canon 		EOS 5DS (Body Only),USD,3699,Canon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-191dba6c9dd0f5a1f6de055f9b116e4e,Nikon 		D810A (Body Only),USD,3796.95,Nikon,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-191e3bee5f0da0ee36a7850903670dfb,Nikon 		Coolpix B500,USD,256.95,Nikon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-19469e4b96855e33393662e4a26656b3,Canon 		PowerShot SX540 HS,USD,399.99,Canon,new,https://schema.org/InStock,,,,,,,,,
robertscamera-1aa9066550b36453d375abea4ddc3ca9,Sony 		HXRMC2000U Shoulder Mount AVCHD camcorder,USD,1699,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
robertscamera-1b46aee8eaaa8147542a1fda857a7bf1,Sony 		HDR-PJ650V Handycam,USD,1099.99,Sony,new,https://schema.org/OutOfStock,,,,,,,,,
