identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
argos-173bd43eb9b108603b1a003a0623b7f4,Nikon D5300 24MP DSLR Camera with 18-55mm Lens,GBP,529.00,//www.argos.co.uk/search/Nikon,New,,"The Nikon D5300 DSLR has an impressive 24.2 megapixels, so you can capture the world how it's meant to be seen. With 16 different modes, you can quickly take perfect shots without having to manually change the camera settings. Simply select a mode and start shooting, the camera will automatically optimise shutter speed, ISO, and aperture for you. Shoot action shots at a fast five frames-per-second and capture the moment instantly. With Wi-Fi you can share your photographs directly to your smartphone and the built-in GPS is perfect for travel photography, snap away as you explore without worrying about remembering locations. The included 18-55mm lens can be used for wide-angle photography or everyday shots, this makes it an excellent walk-around lens. Keep it with you and you'll be ready to tackle a whole host of situations. Camera model number d5300 black + af-p dx nikkor 18-55. Product specification:24.2 megapixels. 3.2in screen with vari-angle LCD technology and live view. CMOS sensor type. Lens focal length 18 - 55mm. Image stabilisation. Continuous shooting up to 5 frames per second (JPEG). Continuous shooting up to 5 frames per second (RAW). Shutter speed of 30 to 1/4000 sec. Lens information:Standard lens. Aperture f/3.5-5.6. Silent wave motor. 55mm filter. Features:Viewfinder with optical adjustment. 39 focus points in the viewfinder.  ISO range from 100 to 12800. 1080p video capture with sound. Built-in flash. Hot shoe for additional flash. PictBridge compatible. Memory card compatibility:SD, SDHC, SDXC, . General information:Colour: black. Shoulder strap, aV cable, USB cable and battery charger. Rechargeable battery. Weight 530g. Size H9.8, W12.5, D7.6cm. EAN: 0018208947591. ",,,,,,4.7281,,114
argos-f037c0e5731b9634145c819d8fa0b0e8,Panasonic FT30 16MP Waterproof Camera - Red,GBP,124.95,//www.argos.co.uk/search/Panasonic,New,,"The LUMIX DMC-FT30 offers extra toughness by extending its waterproof performance to 8 m / 26 ft. A variety of special modes, including Time Lapse Shot and Creative Panorama, and a host of attractive filter effects, are added to expand the shooting experience. Waterproof down to 8 m / 26 ft.  Shockproof up to 1.5 m / 5 ft.  Freezeproof down to -10? / 14.  Model number dmc-ft30eb-r. Product specification:16 megapixels. 4x optical zoom. 4x digital zoom. Wide angle lens. 2.7in LCD . Continuous shooting up to 1.3 frames per second and up to 8 frames per second high speed burst. Image stabilisation. Red eye reduction. PictBridge compatible. Features:1080p high definition video capture and playback with sound. Maximum ISO 6400. Intelligent scene mode. Self timer. Built-in flash. Memory card compatability: SD, SDHC, SDXC, . General information:Size H58.3, W103.7cm. Weight 144g. Depth 19.7cm (when switched off). Waterproof up to 8m. Shockproof up to 1.5m. Rechargeable . Colour: red. Includes USB cable, carry strap, . EAN: 5025232820351. ",,,,,,4.2,,40
argos-0d99a716bf3ba58ab5b7c163b9734bba,Nikon Coolpix A100 20MP 5x Zoom Compact Camera - Silver,GBP,79.99,//www.argos.co.uk/search/Nikon,New,,"Stylish, slender and simple to use, the COOLPIX A100 fits easily in a pocket or bag. You'll always shoot unforgettable images with a 20.1-megapixel CCD sensor and the NIKKOR 5x optical zoom lens– extendable to 10x Dynamic Fine Zoom – helps you take beautiful close-ups of family and friends. Have fun with Special effects as you shoot, or get creative with Quick effects to enhance photos in-camera. Camera model number coolpix a100 silver. Product specification:20.1 megapixels. 2.7in screen with LCD technology. Lens focal length 4.6 - 23mm. Digital image stabilisation. Continuous shooting up to 1.1 frames per second (JPEG). Continuous shooting up to 1.1 frames per second (RAW). Shutter speed of 4 to 1/2000 sec. CCD sensor, 25.4 x 58.42mm. Lens information:Zoom lens. Aperture f/3.2-6.5. Features: ISO range from 80 to 3200. 720p HD video capture. Video capture and playback with sound. Built-in flash. PictBridge compatible. Accepts SD, SDHC, SDXC SD, SDHC, SDXC, compact Flash memory card formats. General information:Includes wrist strap, USB cable . Batteries required: 1 x rechargeable (included) . Size: H58.6, W94.5, D19.8cm. Camera weight: 119g. EAN: 0018208948581. ",,,,,,4.5678,,118
argos-98a376772559707c295b182ac3a540f5,Polaroid IE090 18MP Waterproof Camera - Yellow,GBP,59.99,//www.argos.co.uk/search/Polaroid,New,,"This Polaroid IE090 camera is both waterproof and shockproof and boasts 4x digital zoom, 18 megapixels as well as a dual screen function so whichever way the cameras pointing you can frame the perfect shot. Take this tough camera everywhere you go and get even closer to the action without being limited by the cameras capabilities. With 2 screen, you can take that perfet underwater selfie! This model was created specifically for active people, it's waterproof, dustproof and shock. Ideal for holidays, the sea, the swimming pool, while surfing or canoeing. And all this without any additional casing! With such a high resolution, you can capture every detail and 4x digital zoom make even distant objects will be carefully photographed. You can also take hd videos with the camera, which is the ideal feature when you want to capture action sequences in full, and not just in still frames. Model number IE090-YEL. 18 megapixels. 4 x digital zoom. 2.7in LCD . Features:PictBridge compatible. Digital anti-blur. Continuous shooting up to 3 frames per second. Red eye reduction. Accepts microSDHC, microSD microSDHC, microSD, . Movie playback with sound. 720p high definition. Maximum ISO 400. Intelligent scene mode. Waterproof up to 3m. Self timer. Built-in flash. General information:Includes USB cable, carry strap . Batteries required: 2 x AAA . Weight 140g. Size H6, W9cm. Depth of camera when switched off 3cm. EAN: 0681066772881. ",,,,,,3.252,,127
argos-01dc9330d830ad5616162c6414d9874e,VTech KidiZoom Action Cam 180 - Pink,GBP,34.99,//www.argos.co.uk/search/VTech,New,,"Apply visual effects to your photos and videos! Play three games and create stop, slow and fast motion videos with a great selection of background music. Record time-lapse photos, capture underwater photos and videos with the waterproof case and attach the camera to a bicycle and more with the mounts. Action camera with rotatable lens for children! 128MB internal memory, expandable with microSD (not included). 0.3 megapixel. Video. Stores 600 photos. USB connection. Accessories in the box:Size H6.4, W9, D2.2cm. Batteries required: 1 x rechargeable (included) plus . For ages 5 years and over. EAN: 3417765070137. WARNING(S):Not suitable for children under 3 years old. Only for domestic use. This toy does not provide protection. ",,,,,,4.875,,16
argos-197dbd38e895d0d9e5a186e4fd0b8bd5,Nikon D3400 DSLR Camera with 18-55mm Lens,GBP,459.99,//www.argos.co.uk/search/Nikon,New,,"The D3400 makes it easy to shoot and share DSLR-quality images. Using Nikon's SnapBridge your camera is always connected to your smart device via Bluetooth, so you can sync photos as you shoot. With a large 24.2 MP DX-format sensor and powerful EXPEED 4 image processor, you'll experience rich detailed photographs and great low-light photography. If you're new to DSLR photography Guide Mode is there to help you develop your photographic skills. Lightweight and small, the D3400 is your ideal grab and go DSLR. Shoot for longer, thanks to the camera's low-energy design and the high-capacity battery, you can capture up to 1200 shots on one charge. The included 18-55mm lens can be used for wide-angle photography or everyday shots, this makes it an excellent walk-around lens. Keep it with you and you'll be ready to tackle a whole host of situations. Camera model number d3400 + af-p 18-55 non vr. Product specification:24.2 megapixels. 3in screen with TFT LCD technology and live view. CMOS sensor type. Lens focal length 18 - 55mm. Continuous shooting up to 5 frames per second (JPEG). Continuous shooting up to 5 frames per second (RAW). Shutter speed of 30 to 1/4000 sec. Lens information:Standard lens. Aperture f/5.6-38. Silent wave motor. 55mm filter. Features:Viewfinder with optical adjustment. 11 focus points in the viewfinder.  ISO range from 100 to 25600. 1080p video capture with sound. Built-in flash. Hot shoe for additional flash. PictBridge compatible. Memory card compatibility:SD, SDHC, SDXC, . General information:Colour: black. Shoulder strap, battery charger. Rechargeable battery. Weight 445g. Size H9.8, W12.4, D7.55cm. EAN: 0018208947973. ",,,,,,4.8,,100
argos-a3d833ff0feb474a5a0b34f491d61b84,Canon EOS M50 Mirrorless Camera Body w/ 15-45mm Lens - Black,GBP,649.99,//www.argos.co.uk/search/Canon,New,,"Capable, compact and connected, this versatile mirrorless camera features 4K video, Vari-Angle touchscreen, 24.1 Megapixel CMOS sensor and DIGIC 8 for making unforgettable memories with beautiful colour and detail. Equipped with a Vari-Angle touchscreen with Touch and Drag AF and large, central electronic viewfinder. Produce incredible high-resolution video footage with a unique look and feel and four times the image quality of Full HD. Camera model number M50. Product specification:24.1 megapixels. 3in screen with live view. CMOS sensor type. Lens focal length 15 - 45mm. Image stabilisation. Continuous shooting up to 10 frames per second (JPEG). Continuous shooting up to 10 frames per second (RAW). Shutter speed of 1/4000 to 30 sec. Lens information:Wide angle zoom lens. Aperture f/40-3.5. Features:Viewfinder with optical adjustment. 143 focus points in the viewfinder.  ISO range from 100 to 25600. 4K video capture with sound. Built-in flash. Hot shoe for additional flash. PictBridge compatible. Memory card compatibility:SD, SDHC, SDXC, . General information:Colour: black. Wrist strap, USB cable and battery charger. Rechargeable battery. Weight 520g. Size H5.9, W8.8, D11.6cm. EAN: 8714574656083. ",,,,,,,,
argos-7a3f8cb9b426d75a8d000a69e321a710,Nikon B500 16MP 40x Zoom Bridge Camera - Plum,GBP,239.99,//www.argos.co.uk/search/Nikon,New,,"The Nikon B500 feels great in your hands, whether you're zooming in with its super telephoto NIKKOR glass lens or recording 1080p Full HD video using the flip-up LCD . It takes all the work out of shooting beautiful photos and videos with its 16 megapixel low-light sensor, Lens-Shift Vibration Reduction, easy menus and controls, fun creative effects and outstanding automatic operation. Plus, the whole time you're shooting you can be seamlessly connected to a compatible smartphone through Bluetooth for instant photo sharing and remote control. Few shots are too far away for the b500's nikkor ed glass lens. 40x optical zoom gives you super telephoto power, then dynamic fine zoom, an enhanced digital zoom, effectively doubles that reach for a whopping 80x zoom. Lens-shift vibration reduction (vr) keeps your shots steady—crucial at such long distances—and a 16-megapixel backside illuminated CMOS sensor captures every detail. The b500's large, tilting LCD display makes it easy to compose your shots and monitor your video recording. You can also use it to find exciting new shooting angles. Reviewing and sharing your creations is a pleasure, too—every shot and video looks fantastic on the high resolution display. Model number: B500. Product specification:16 megapixels. 40x optical zoom. 3in screen with TFT LCD technology. Focal length of 4-160mm. Up to 7.4 frames per second. Shutter speed of 1/1500 to 1/4000 sec. CMOS sensor. Lens information:Lens type: telephoto zoom. Manual focus. Features:Wi-Fi. Minimum ISO rating 125 and maximum ISO rating 6400. Built-in flash. 720p HD recording. Video capture with sound. Features intelligent scene mode feature. Memory card compatibility:SD, SDHC, SDXC, . General information:Colour: purple. Includes  strap, shoulder strap, wrist strap, USB cable . Batteries required: 4 x AA (included) . Size H12.4, W15.5, D9.49cm. Weight 542g. EAN: 0018208949038. ",,,,,,4.7759,,58
argos-d761cd4de2632bf5c0b8372b9195ce10,Polaroid IX828 20MP 8x Zoom Compact Camera - Black,GBP,59.99,//www.argos.co.uk/search/Polaroid,New,,"The Polaroid iX828 Digital Camera features an astonishing 20MP sensor for capturing high-resolution digital images or HD video which can be viewed on its 2.4"" rear display. An 8x optical zoom lens allows you to get closer to your subject and a built-in flash is included for use in low-light. Model number ix828-blk. Product specification:20 megapixels. 8x optical zoom. 2.4in LCD . Continuous shooting up to 3 frames per second. PictBridge compatible. Features:1080p high definition . Built-in flash. Memory card compatability: microSD, . General information:Size H5, W9cm. Depth 2.5cm (when switched off). Rechargeable . Colour: black. Includes USB cable, carry strap, . EAN: 0681066991343. ",,,,,,3.3574,,305
argos-589ec2ad7ef7121ac4bc2bfc3d0129e8,Canon EOS M50 Mirrorless Camera Body w/ 15-45mm Lens - White,GBP,649.99,//www.argos.co.uk/search/Canon,New,,"Capable, compact and connected, this versatile mirrorless camera features 4K video, Vari-Angle touchscreen, 24.1 Megapixel CMOS sensor and DIGIC 8 for making unforgettable memories with beautiful colour and detail. Equipped with a Vari-Angle touchscreen with Touch and Drag AF and large, central electronic viewfinder. Produce incredible high-resolution video footage with a unique look and feel and four times the image quality of Full HD. Camera model number M50. Product specification:24.1 megapixels. 3in screen with live view. CMOS sensor type. Lens focal length 15 - 45mm. Image stabilisation. Continuous shooting up to 10 frames per second (JPEG). Continuous shooting up to 10 frames per second (RAW). Shutter speed of 1/4000 to 30 sec. Lens information:Wide angle zoom lens. Aperture f/40-3.5. Features:Viewfinder with optical adjustment. 143 focus points in the viewfinder.  ISO range from 100 to 25600. 4K video capture with sound. Built-in flash. Hot shoe for additional flash. PictBridge compatible. Memory card compatibility:SD, SDHC, SDXC, . General information:Colour: white. Wrist strap, USB cable and battery charger. Rechargeable battery. Weight 520g. Size H5.9, W8.8, D11.6cm. EAN: 8714574655857. ",,,,,,,,
