identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
bestbuy-02c62faf0154b46f37c20e81b4d62310,Sony - Alpha a7 II Full-Frame Mirrorless Camera (Body Only) - Black - Front_Zoom,USD,1399.99,Sony,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1633/1633004_sd.jpg,,0027242888722,,,4.9,,120
bestbuy-04a4abad6dafdb52e2144f136a5d80c2,Canon - PowerShot ELPH 360 20.2-Megapixel Digital Camera - Silver - Front_Zoom,USD,209.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4866/4866811_sd.jpg,,0013803269604,,,4.5,,304
bestbuy-04c7a382d38ccfd8baeb8d8e52dd18aa,Polaroid - Pop 20.0-Megapixel Digital Camera - Blue - Front_Zoom,USD,199.99,Polaroid,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6089/6089939_sd.jpg,,0840102188196,,,3.3,,52
bestbuy-05133b0f58875aa9c2d40267cec3b0b8,Polaroid - Snap 10.0-Megapixel Digital Camera - Red - Front_Zoom,USD,95.99,Polaroid,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4561/4561562_sd.jpg,,0840102133707,,,4.1,,1070
bestbuy-052e674ca074a7773c0ed1f5cc20529a,Canon - EOS Rebel SL2 DSLR Camera with EF-S 18-55mm IS STM Lens - Black - Front_Zoom,USD,649.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5959/5959403_sd.jpg,,0013803290806,,,4.7,,91
bestbuy-054663a0ca39b63182695e8347a1b9c9,Canon - EOS 5D Mark IV DSLR Camera (Body Only) - Black - Front_Zoom,USD,3499.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5578/5578523_sd.jpg,,0013803281347,,,4.9,,331
bestbuy-07a7f1b3a429d61cac86b0d1a0badc0c,"GoPro - Boating Bundle - HERO5 Session 4K Action Camera, Floating Hand Grip, Jaws Clamp Mount & Flotation Device - Front_Zoom",USD,299.96,GoPro,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9999/9999280000050041_sd.jpg,,,,,,,
bestbuy-07fb1c8510715a28b14c6619360a8765,Canon - EOS M6 Mirrorless Camera with EF-M 18-150mm f/3.5-6.3 IS STM Zoom Lens - Silver - Front_Zoom,USD,1279.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5774/5774294_sd.jpg,,0013803286830,,,4,,1
bestbuy-09fa5410402274cae6bb705385a21e69,Polaroid - Snap 10.0-Megapixel Digital Camera - Purple - Angle_Zoom,USD,99.99,Polaroid,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5097/5097200_rd.jpg,,0840102155105,,,4.1,,1070
bestbuy-0b94417aed564be5a34d90f5b4215b0c,Fujifilm - X-T2 Mirrorless Camera (Body Only) - Black - Front_Zoom,USD,1599.99,Fujifilm,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5580/5580632_sd.jpg,,0074101029499,,,4.9,,15
bestbuy-0c85a45c2e790475832ddea969b71a22,Canon - PowerShot SX420IS 20.0-Megapixel Digital Camera - Black - Front_Zoom,USD,229.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4866/4866805_sd.jpg,,0013803269345,,,4.1,,12
bestbuy-0ca840e71fed40fb1e09a762c8e60007,Nikon - D3400 DSLR Camera with AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Lens - Black - Front_Zoom,USD,499.99,Nikon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5580/5580135_sd.jpg,,0018208015719,,,4.7,,334
bestbuy-0cff6aea16adaf9d7f202a4da8ca7949,Sony - Alpha a6000 Mirrorless Camera with 16-50mm Retractable Lens - Silver - Front_Zoom,USD,599.99,Sony,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6004/6004149_sd.jpg,,0027242878839,,,4.7,,2342
bestbuy-10a29285328acb4cc16f0575302c0c23,Nikon - D610 DSLR Camera (Body Only) - Black - Front_Standard,USD,1499.99,Nikon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/2061/2061108_sa.jpg,,0018208015405,,,4.8,,140
bestbuy-10cbafafc0c5e727427fe27430cb458e,Sony - Cyber-shot RX100 II 20.2-Megapixel Digital Camera - Black - Front_Zoom,USD,599.99,Sony,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1420/1420007_sd.jpg,,0027242870802,,,4.7,,91
bestbuy-1125694ec0158deed2892e69e73c9ddd,GoPro - Family Bundle - HERO5 Black 4K Action Camera with Chest Mount Harness and 3-Way Mount - Front_Zoom,USD,409.97,GoPro,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/9999/9999280000050022_sd.jpg,,,,,,,
bestbuy-11750b39eccf5139da7a39cb31fdc58c,Canon - EOS M100 Mirrorless Camera with EF-M 15-45mm IS STM Zoom Lens - White - Front_Zoom,USD,549.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6092/6092114_sd.jpg,,0013803292046,,,,,
bestbuy-11b3c574acec52b9c9b0b7171b506c0e,Olympus - OM-D E-M10 Mark II Mirrorless Camera with 14-42mm Lens - Silver - Front_Zoom,USD,549.99,Olympus,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5044/5044300_sd.jpg,,0050332189980,,,4.6,,70
bestbuy-11f7785166d398f8816f25dd971753c1,Canon - EOS M100 Mirrorless Camera with EF-M 15-45mm and 55-200mm IS STM Zoom Lenses - White - Front_Zoom,USD,779.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6092/6092112_sd.jpg,,0013803292053,,,,,
bestbuy-11f925ebc8df3bd83423b60f459cc595,Nikon - D5 DSLR Camera Dual CF (Body Only) - Black - Front_Zoom,USD,6499.99,Nikon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4870/4870904_sd.jpg,,0018208015580,,,,,
bestbuy-13de0db2b3bbce78423a0cf74f534a93,Panasonic - LUMIX GX85 Mirrorless Camera with G VARIO 12-32mm f/3.5-5.6 ASPH. MEGA O.I.S Lens - Black - Front_Zoom,USD,599.99,Panasonic,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5163/5163503_sd.jpg,,0885170285316,,,4.8,,48
bestbuy-13fb43ddbd8d9cef68833c1b9dcc8030,DJI - Osmo+ 4K Action Camera - Black - Left_Zoom,USD,499.99,DJI,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5902/5902626ld.jpg,,0190021281448,,,4.1,,23
bestbuy-1409acada77d2ea479960aecd6342a92,Panasonic - Lumix GH5 Mirrorless Camera (Body Only) - Black - Front_Zoom,USD,1999.99,Panasonic,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5723/5723608_sd.jpg,,0885170307100,,,4.9,,40
bestbuy-140e89547eead6ddc007d72566fed34f,Canon - EOS Rebel T6 DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS II Lens - Black - Front_Zoom,USD,449.99,Canon,http://schema.org/NewCondition,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5086/5086534_sd.jpg,,0013803271348,,,4.7,,257
