,id,name,prod_cat,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
0,buydig-006d58cf22ec85b8162190cb3c9f1786,Alpha a6000 Mirrorless Camera with Power Zoom 16-50mm and 55-210mm Lenses Kit,,USD,847.99,Sony,,,24.3MP APS-C Exmor APS HD CMOS Sensor. BIONZ X Image Processor. 3-inch Xtra Fine Tilting LCD. Full HD 1080i/p AVCHD Video at 24/60 fps. Built-In Wi-Fi Connectivity with NFC. Up to 11 fps Shooting. ISO 25600. Fast Hybrid AF. 179 Phase-Detect Points.,https://static.buydig.com/Assets/Product/ImagesNw400/0E8CDC4925F2403BB9D59EC889D636D9.jpg,,,,,,5,
1,buydig-0181dc5ad4189fc83a9042c144b6db2a,DSC-HX400V/B 50x Optical Zoom 4K Stills Digital Camera,,USD,398.00,Sony,,,"20.4MP 1/2.3"" Exmor R CMOS Sensor. BIONZ X Image Processor. 50x Optical Zoom Carl Zeiss Lens. 24-1200mm Equiv. Focal Length. 3-inch Xtra Fine LCD. Full HD 1080/60p/24p AVCHD Video. Optical SteadyShot Image Stabilization. Built-In Wi-Fi Connectivity & NFC.",https://static.buydig.com/Assets/Product/ImagesNw400/D321C67B76E248E3BAC93B584406A4C6.jpg,,,,,,5,
2,buydig-018b96bb0a607ab18a0e28042a87e7a2,Lumix DC-G9 Mirrorless Micro Four Thirds Camera Body + 14mm f/2.8 Lens Bundle,,USD,1997.99,Panasonic,,,"<li>20.3MP Digital Live MOS Sensor
<li>Venus Engine Image Processor
<li>UHD 4K60p Video; 80MP High-Res Shot Mode
<li>5-Axis Sensor Stabilization; Dual I.S. 2",https://static.buydig.com/Assets/Product/ImagesNw400/A90D13D696604632A051727B0635A508.jpg,,,,,,5,
3,buydig-0193992ade384dc65a2fe02c1a10f460,EOS 6D Mark II 26.2MP DSLR Camera + 24-105mm Lens + Tascam Recorder Bundle,,USD,2799.00,Canon,,,"26.2 Megapixel Full-frame CMOS Sensor. DIGIC 7 Image Processor, ISO 100-40000. Vari-angle Touch Screen, 3.0-inch LCD. Built-in Wi-Fi, NFC, Bluetooth and GPS. High-Speed Continuous Shooting at up to 6.5 fps. Dust- & Water-resistant.",https://static.buydig.com/Assets/Product/ImagesNw400/67D03F87B2EC45EBBC959DC2823FE994.jpg,,,,,,5,
4,buydig-01bbdc0f8b0edb9833c7a729e0265683,EOS 80D 24.2 MP CMOS Digital SLR Camera w/ EF-S 18-55mm f/3.5-5.6 IS STM Lens,,USD,1149.00,Canon,,,"<li>24.2 Megapixel (APS-C) CMOS
<li>Full HD 1080p Video Recording at 60fps
<li>DIGIC 6 Image Processor
<li>High-speed continuous shooting up to 7.0 fps
<li>Vari-angle Touch Screen 3.0-inch Clear View LCD II Monitor
<li>Built-in Wi-Fi and NFC",https://static.buydig.com/Assets/Product/ImagesNw400/5BC92FE204FC430F95FEA119C4E72F93.jpg,,,,,,5,
5,buydig-01ece43da2892e82f04f00588efa133c,Alpha 7II Mirrorless Interchangeable Lens Camera 24-240mm Zoom Lens Bundle,,USD,2597.99,Sony,,,,https://static.buydig.com/Assets/Product/ImagesNw400/EE3044EAE43F4F48B7FC574BB2525001.jpg,,,,,,5,
6,buydig-02b180905d602caac216907625e4b9d8,T7i EOS Rebel DSLR Camera EF-S 18-55mm f3.5-5.6 IS II Lens 32GB Memory x2 Bundle,,USD,849.00,Canon,,,"<li>Optical Viewfinder with a 45-point All Cross-type AF System
<li>Fast & Accurate Dual Pixel CMOS AF with Phase-detection
<li>24.2 Megapixel CMOS (APS-C) Sensor
<li>DIGIC 7 Image Processor, ISO 100-25600
<li>Built-in Wi-Fi, NFC and Bluetooth",https://static.buydig.com/Assets/Product/ImagesNw400/A4927C5D94234A29AFD46FA1661DA9EF.jpg,,,,,,5,
7,buydig-0304c11a14f9910451f25b79149a7158,D750 DSLR 24.3MP Digital Camera w/ AF-S NIKKOR 24-120mm Lens 64GB Bundle,,USD,2296.95,Nikon,,,,https://static.buydig.com/Assets/Product/ImagesNw400/ED8C47425D104574B4D42B0C240ECEA8.jpg,,,,,,5,
8,buydig-03aa64ca030b64063958cfd808425984,Alpha a6000 24.3MP InterCH. Lens Camera with 16-50mm Power Zoom Lens - OPEN BOX,,USD,499.00,Sony,,,,https://static.buydig.com/Assets/Product/ImagesNw400/F55B19677E3648B0ACACBA7C3E596542.jpg,,,,,,5,
9,buydig-03c8057e3f752a426d043ebd93681390,HC-V380K Full HD Camcorder with Wi-Fi Multi Scene Twin Camera + 32GB SDHC Kit,,USD,347.99,Panasonic,,,"The Panasonic V380 Full HD 1080p handheld camcorder brings the joy of video creation to life with innovative features like multi-camera scene picture-in-picture capture, simply by adding a WiFi link to a mobile device camera.",https://static.buydig.com/Assets/Product/ImagesNw400/70E0BADF11684AED86B02679E30FD1CB.jpg,,,,,,5,
