identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
cliftoncameras-9cbe5f4ab30a6a7f651a41389f163e9f,Camlink 4K UHD Action Camera Wifi Black,GBP,69.00,Camlink,,http://schema.org/InStock,"
Capture the moment and relive the action over and over again in 4K Ultra HD image quality. This feature-packed action cam has Wi-Fi, enabling you to share the thrill with your friends on Facebook, Instagram and other social media.             	     ",/uploads/products/Camlink4KActionCamera.png,,,,,,,
cliftoncameras-257f158f37a6b4af2f2c71db69acf2a4,DJI Phantom 3 Propellers With Silver Strips,GBP,6.00,DJI Drones,,http://schema.org/InStock,"
Another masterpiece by DJI Propulsion Laboratory. Aerodynamically optimized and precisely manufactured, the Z-Blade 9450 propellers produce powerful thrust with excellent dynamic balance.              	     ",/uploads/products/Phantom3PropellerswithSilverStrips.png,,,,,,,
cliftoncameras-aed07c0cbc4a60ecb1151cc310d71dc5,Yuneec Neck Strap ST10,GBP,16.95,Yuneec Ltd.,,http://schema.org/InStock,"
The Neck Strap for ST10 Personal Ground Station from Yuneec means you don't have to set the transmitter (remote controller) down when not using it.             	     ",/uploads/products/YuneecNeckStrapST10.png,,,,,,,
cliftoncameras-5d4e2c02364ff9797488f23d4199351f,GoPro Hero6 Black - The Ultimate Music Kit,GBP,575.00,GoPro,,http://schema.org/InStock,"
Whether you are practicing in your bedroom or playing a sell out tour, recorded it from every perspective possible with the ultimate GoPro music kit!             	     ",/uploads/products/MusicKitImage1.png,,,,,,,
cliftoncameras-dae0231bdbfd25d77866d74b71f35f44,Panasonic Lumix DC-TZ90 Digital Camera - Black,GBP,329.00,Panasonic,,http://schema.org/InStock,"
Explore the Panasonic DC-TZ90 - Superzoom Cameras - Take this pocket-sized camera on your next trip. Its powerful 30x zoom lens and 4K Photo selfie feature let you save your travel memories in exactly the form you want.             	     ",/uploads/variants/TZ90Black.png,,,,,,,
cliftoncameras-14db64752be0ecce5e96d87fa7e274ea,Canon EOS 2000D Body Only,GBP,369.99,Canon,,http://schema.org/InStock,"
Step up to effortless DSLR storytelling
Easily tell superb stories with detailed photos and cinematic Full HD movies full of colour, even in difficult light, using the 24.1 Megapixel EOS 2000D. Share instantly and shoot remotely with Wi-Fi and Canon Connect app             	     ",/uploads/products/CanonEOS2000DBodyOnlyFront.png,,,,,,,
cliftoncameras-c6a67f95830d8a096501087601e81459,Sony Alpha A7R II Digital Camera Body,GBP,2399.00,Sony,,http://schema.org/InStock,"
Now, even more comprehensive quality enters the picture. With the world's first back-illuminated 35 mm full-frame CMOS image sensor with 42.4 megapixels             	     ",/uploads/products/SonyAlphaA7RII.png,,,,,,,
cliftoncameras-c3b9ea0f7566af3ddba11f2356660f66,Leica SOFORT Postcards,GBP,7.75,Leica,,http://schema.org/InStock,"
If you want to share your instant photos this 3-pack of Sofort Postcards from Leica is the way to go.             	     ",/uploads/products/LeicaSofortPostcards.png,,,,,,,
cliftoncameras-603a44b9834a04c6f63ae84662a7dafa,FlatHat 32Inch (80cm) Drone Pad - Gold and Red,GBP,32.49,FlatHat,,http://schema.org/InStock,"
FlatHat 32"" Collapsible Drone Pad is suitable for use with DJI Phantom 3, 4, DJI Inspire, 3DR Solo, Yuneec Q500, Yuneec Typhoon H and similarly-sized drones.             	     ",/uploads/products/32inDronePad3DSketchupHome.png,,,,,,,
cliftoncameras-94f7cd10f43ac1ba97e675bb107840b5,Pentax K-S2 + 18-135WR Lens - Black/Orange,GBP,739.00,Pentax,,http://schema.org/InStock,"
The world’s smallest dustproof, weather-resistant digital SLR camera designed for active, outdoor shooting.             	     ",/uploads/variants/PentaxKS218135WRLensBlackOrange.png,,,,,,,
