identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
currys-02956b3e3fdc2bac4b46bd098508783d,Luxmedia WP240-GY Compact Camera &amp; Accessories Bundle - Graphite,GBP,124.99,PRAKTICA,http://schema.org/NewCondition,http://schema.org/InStock,"20 megapixels; Sensor type: 1/2.3"" / 6.17 x 4.55 mm CCD sensor; Optical zoom: 4 x; 2.7"" / 68 mm LCD screen",https://brain-images-ssl.cdn.dixons.com/3/7/10170273/u_10170273.jpg,,,,,,,
currys-02eadb3671ef1b40003d31db0433db33,Cyber-shot DSC-WX350B Superzoom Compact Camera - Black,GBP,159,SONY,http://schema.org/NewCondition,http://schema.org/InStock,"Performance point & shoot; 18.2 megapixels; Sensor type: 1/2.3"" / 6.17 x 4.55 mm CMOS sensor; Optical zoom: 20 x; 3"" / 76.2 mm LCD screen; Built-in WiFi / NFC",https://brain-images-ssl.cdn.dixons.com/1/9/22074691/u_22074691.jpg,,,,,8.7,10,150
currys-04efa648ca365c32c8375d09269e8f0f,EOS 77D DSLR Camera - Body Only,GBP,729.99,CANON,http://schema.org/NewCondition,http://schema.org/InStock,"Specialist: photography without limits; 24.2 megapixels; APS-C / 22.3 x 14.9 mm CMOS sensor; Built-in WiFi / Bluetooth / NFC; 3"" / 76.2 mm vari-angle LCD touchscreen; 6 fps in continuous shooting mode",https://brain-images-ssl.cdn.dixons.com/3/3/10159733/u_10159733.jpg,,,,,9.5,10,24
currys-053bbd70e8281c997b182ea034235234,D5600 DSLR Camera with DX 18-55 mm f/3.5-5.6G VR Lens,GBP,679,NIKON,http://schema.org/NewCondition,http://schema.org/InStock,"Hobbyist: break away from auto mode; 24.2 megapixels; APS-C / 23.5 x 15.6 mm CMOS sensor; Built-in WiFi; 3.2"" / 81.3 mm vari-angle LCD touchscreen; 5 fps in continuous shooting mode",https://brain-images-ssl.cdn.dixons.com/0/1/10156610/u_10156610.jpg,,,,,9.1,10,28
currys-06a2f7e634250c65037123fef6ac2e6a,Luxmedia Z250-S Compact Camera - Silver,GBP,78.99,PRAKTICA,http://schema.org/NewCondition,http://schema.org/InStock,"20 megapixels; Sensor type: 1/2.3"" / 6.17 x 4.55 mm CCD sensor; Optical zoom: 5 x; 2.7"" / 67 mm LCD screen",https://brain-images-ssl.cdn.dixons.com/1/2/10154421/u_10154421.jpg,,,,,9.5,10,2
currys-06ee341196ec017ecf3c04d012bc3458,a7 Mirrorless Camera with 28-70 mm Zoom &amp; FE 50 mm Standard Prime Lens,GBP,1174.97,SONY,http://schema.org/NewCondition,http://schema.org/InStock,"Specialist; 24.3 megapixels; Sensor type: Full-frame 35 mm / 35.8 x 23.9 mm CMOS sensor; Standard ISO range: 100 - 25600; 3"" / 76.2 mm tiltable LCD touchscreen",https://brain-images-ssl.cdn.dixons.com/5/1/10162915/u_10162915.jpg,,,,,9,10,32
currys-07054722746f6370be271c2d8d46c3c3,PowerShot G3 X Superzoom Compact Camera - Black,GBP,779.99,CANON,http://schema.org/NewCondition,http://schema.org/InStock,"Specialist; 20.2 megapixels; Sensor type: 1” / 13.2 x 8.8 mm CMOS sensor;  Optical zoom: 25 x ; 3.2"" / 80 mm tiltable LCD touchscreen; Built-in WiFi / GPS / NFC",https://brain-images-ssl.cdn.dixons.com/4/5/10134754/u_10134754.jpg,,,,,8.6,10,8
currys-070fc38ca277e2d3c4316b422a067e70,ILCA68K DSLR Camera with 18-55 mm f/3.5-5.6 Lens,GBP,499,SONY,http://schema.org/NewCondition,http://schema.org/InStock,"Performance: creativity without the complexity; 24.8 megapixels; APS-C / 23.5 x 15.6 mm CMOS sensor; 2.7"" / 68.5 mm tiltable LCD screen; 8 fps in continuous shooting mode",https://brain-images-ssl.cdn.dixons.com/3/4/10145743/u_10145743.jpg,,,,,8.8,10,6
currys-0ae2947b836a34e8519ec9e5f838cc34,PowerShot G9X MK II High Performance Compact Camera - Black,GBP,399.99,CANON,http://schema.org/NewCondition,http://schema.org/InStock,Sensor type: 1” / 13.2 x 8.8 mm CMOS sensor; f/2.0 - f/4.9 lens; DIGIC 7 processor; Manual controls; Built-in WiFi / Bluetooth / NFC,https://brain-images-ssl.cdn.dixons.com/7/4/10158147/u_10158147.jpg,,,,,9.2,10,13
currys-0ae55758285d3cda2f5007278e0256b3,PowerShot G1X Mark II High Performance Compact Camera - Black,GBP,559.99,CANON,http://schema.org/NewCondition,http://schema.org/InStock,"Sensor type: 1.5"" / 18.7 x 14.0 mm CMOS sensor; f/2.0 - f/3.9 lens; DIGIC 6 processor with iSAPS technology ; Manual controls; Built-in WiFi / NFC",https://brain-images-ssl.cdn.dixons.com/4/6/22080764/u_22080764.jpg,,,,,9,10,11
