identifier,name,priceCurrency,price,brand,itemCondition,availability,description,image,gtin12,gtin13,gtin14,gtin8,ratingValue,bestRating,reviewCount
newegg-00062875c4c3761b5f7bc192ab63460c,Nikon D7500 Digital SLR Camera + 4 Lens Kit: 18-55mm VR + 70-300mm + 32GB Kit,USD,1399.95,,,,,,,,,,,,
newegg-00078f179a8d507ba8a07afac3641a5e,700TVL Weatherproof Vari-Focal IR Camera (Black),USD,194.59,,,,,,,,,,,,
newegg-003165ea835f1676f5443f42e410a01c,Canon PowerShot ELPH 190 IS Red Digital Camera w/ 10x Optical Zoom 32GB Card Bundle,USD,179.0,,,,,,,,,,,,
newegg-003357a400ab5a46e1a8c0495ace847d,Canon EOS 70D Digital SLR Camera & EF-S 18-55mm IS STM Lens with Tamron 70-300mm Di Lens + 64GB Card + Battery + Case + Filters + Remote + Kit,USD,1149.0,,,,,,,,,,,,
newegg-0039ff1d376e1ed49b54c7d6560ca34c,Nikon D5600 Wi-Fi Digital SLR Camera & 18-55mm VR DX AF-P + 70-300mm VR AF-P Lens + 64GB Card + Case + Battery & Charger + Grip + Tripod + Kit,USD,1019.99,,,,,,,,,,,,
newegg-004e82c321225e707698ba8287d6d20c,Andoer HDV-312P 1080P Full HD Digital Video Camera Portable Home-use DV with 2.7 Inch Rotating LCD Screen Max. 20 Mega Pixels 16× Digital Zoom,USD,45.59,,,,,,,,,,,,
newegg-00593cd2bffc2e9b3f999090da21996d,Ikelite Nikon D500 Housing DL 50ft,USD,1395.0,,,,,,,,,,,,
newegg-0066c10ef763f7244840e65dd53ca24c,"Panasonic HC-V770 HD Camcorder, WiFi, w/ Wasabi battery & 64GB U3 Bundle",USD,697.99,,,,,,,,,,,,
newegg-00684bbb5732a6ca7fde9a9a6c588c3e,OLYMPUS OM-D E-M10 Mark II V207052SU000 Silver Body with 14-42 Silver EZ Lens,USD,549.0,,,,,,,,,,,,
newegg-007405dc3773cfbf6412bf9400e129bc,Vivitar DVR786HD-RED 12.1 MP Full HD Waterproof Action Camera - Red,USD,64.99,,,,,,,,,,,,
newegg-0079668fda1e24d30332484ad89d4058,AVOCENT ACS 6000 8-Port Unit Single AC Power Supply,USD,1923.63,,,,,,,,,,,,
newegg-0087845e97bb7e5f8c3cd7be738be803,Mini DV DVR Hidden Spy HD Pen Video Camera Recorder 1280*1024 Spy Camcorder Cam,USD,10.2,,,,,,,,,,,,
newegg-008f307337c7fd76f0829db93c770db8,Bell & Howell 2VIEW18 HD Dual Screen Waterproof Digital Camera (Purple) with 16GB Card + Case + Floating Strap + Tripod + Kit,USD,94.99,,,,,,,,,,,,
newegg-009921dda85d753686ad278b74b583b3,Nikon D5500 Digital SLR Camera with 18-55mm VR Lens + 64GB Pro Video Kit,USD,699.99,,,,,,,,,,,,
newegg-009f977d43703373db1b695a16534f70,GIT2 Action Camera - Pro Edition - 2K HD - WiFi with Panasonic 16MP Sensor,USD,103.89,,,,,,,,,,,,
newegg-009f9ff2b52fa1a32d984ee3a40ff462,Canon EOS Rebel T6s DSLR Camera (Body Only) (0020C001) + EF 75-300mm Lens + EF-S 55-250mm F4-5.6 Lens + Case + Saver Bundle,USD,873.99,,,,,,,,,,,,
newegg-00a7b3526cc07183f787ed5e5b9f3d0b,Panasonic 42.5mm f/1.7 ASPH. Lens w/ 16GB SD Card & Corel Suite Bundle,USD,397.99,,,,,,,,,,,,
newegg-00b5856e6bd0ad0903e0d3582469c3ff,"Nikon D5300 DSLR Professional Digital Camera 1522 with 18-55mm + 30 PC Accessory Bundle Kit + 54"" Tripod + 32GB + Remote Control + 52mm UV-CPL-FLD Filter + Wide Angle Lens + Telephoto Lens + More",USD,629.95,,,,,,,,,,,,
newegg-00b6b37c0a5bbcec492d6f96e6aed4ab,GoPro Hero 4 HERO4 Black Edition CHDHX-401 with Head Strap + Chest Strap + Car Suction Cup + Flexible Tripod + X-Grip Stabilizer + Floating Bobber + Action Handgrip + Dog Strap + Case + More,USD,484.95,,,,,,,,,,,,
newegg-00b8a43daa50ab18088400013483bb1f,Panasonic Lumix DMC-LX10 4K Wi-Fi Digital Camera with 64GB Card + Battery + Case + Tripod + Flash + Kit,USD,579.95,,,,,,,,,,,,
